IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.129.167.255,8443,8443,,,,SJC,100,10.8
5.144.181.41,2053,2053,,,,LHR,100,10.8
185.183.84.180,30022,30022,,,,LAX,100,10.8
13.66.217.130,443,443,,,,SEA,100,10.8
27.50.49.156,2096,2096,,,,SJC,100,10.8
45.67.214.140,8443,8443,,,,SJC,100,10.8
220.118.236.239,12147,12147,,,,ICN,100,10.8
199.34.228.143,2096,2096,,,,SJC,100,10.8
93.183.125.184,2053,2053,,,,AMS,100,10.8
119.195.231.68,21285,21285,,,,ICN,100,10.8
192.227.247.75,443,443,,,,LAX,100,10.8
64.110.101.31,8443,8443,,,,KIX,100,10.8
108.165.152.25,2087,2087,,,,SJC,100,10.8
45.87.102.122,444,444,,,,HKG,100,10.8
91.217.139.121,8443,8443,,,,LAX,100,10.8
